r3,r1,r2,m3,m1,m2,lattice-constant
1.69,2.33,1.43,46,64,83,4.82629793801916
1.8,2.06,1.14,77,40,33,4.36346967967488
1.52,1.98,1.45,27,41,50,4.223550218240811
1.12,1.9,1.33,4,11,51,4.411513342815819
0.87,1.67,1.11,5,3,14,3.5422344497912617
1.03,1.67,1.65,34,3,47,4.295372468219491
1.33,2.43,2.53,51,19,56,5.610072113397563
1.78,1.71,1.14,44,23,33,4.080523729610207
1.33,1.67,1.94,51,3,20,4.736335570675921
1.45,1.94,1.61,50,20,48,4.963380487047109
1.78,1.76,1.23,44,22,52,4.340915801782154
1.33,1.9,1.94,51,11,20,5.025215560848311
1.33,1.67,1.45,51,3,12,4.706999124538053
1.33,1.67,1.61,51,3,48,4.574805511795228
1.33,2.43,2.19,51,19,38,5.562546373803278
1.42,1.67,1.33,30,3,51,4.530858825344485
1.11,1.94,1.42,14,20,30,4.492205553968452
1.11,1.67,1.56,14,3,49,4.3172616657379015
1.49,2.47,1.43,28,59,83,4.703568242435736
1.77,2.12,1.43,78,39,83,4.775973148402114
1.69,1.84,1.43,46,21,83,4.611657088803547
1.49,2.25,1.43,28,65,83,4.590319434574461
1.49,2.26,1.43,28,68,83,4.560882579273665
1.69,,1.43,46,57,83,4.919664317407032
1.49,2.06,1.43,28,60,83,4.686155030842237
1.69,2.47,1.43,46,59,83,4.88007482294196
1.69,2.22,1.43,46,69,83,4.726486987427555
1.69,2.26,1.43,46,68,83,4.733631594344663
1.77,2.25,1.43,78,65,83,4.7816809143398515
1.77,2.17,1.43,78,71,83,4.714429402594761
1.77,2.22,1.43,78,69,83,4.733747559856778
1.33,1.67,1.45,51,3,12,4.716465870124579
1.69,2.25,1.43,46,65,83,4.771574944223134
1.69,2.17,1.43,46,71,83,4.707185800728286
1.8,1.76,1.45,77,22,50,4.392786326822874
1.69,2.28,1.33,46,66,51,4.668464633390511
